date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:44:28	109/109	---M-Z	200	added ('OK')	text/plain	date:Sat,%2025%20Jan%202025%2014:44:28%20GMT	https://napabuds.com/robots.txt		(from )
22:44:29	246853/246853	---MCZ	200	added ('OK')	text/html	date:Sat,%2025%20Jan%202025%2014:44:29%20GMT	https://napabuds.com/	/storage/emulated/0/HTTrack/Websites/canna3/napabuds.com/index.html	(from )
22:44:31	42368/42368	---M-Z	200	added ('OK')	text/css	etag:%22a580-65cc0b77-7c596097ae1103b9;gz%22	https://napabuds.com/wp-content/themes/astra/assets/css/minified/main.min.css?ver=4.6.5	/storage/emulated/0/HTTrack/Websites/canna3/napabuds.com/wp-content/themes/astra/assets/css/minified/main.min1dc6.css	(from https://napabuds.com/)
22:44:33	6329/6329	---M-Z	200	added ('OK')	application/rss+xml	etag:%224e8846959e87c932028394065a306b6b%22	https://napabuds.com/comments/feed/	/storage/emulated/0/HTTrack/Websites/canna3/napabuds.com/comments/feed/index.html	(from https://napabuds.com/)
22:44:33	1839/1839	---M-Z	200	added ('OK')	application/rss+xml	etag:%224e8846959e87c932028394065a306b6b%22	https://napabuds.com/feed/	/storage/emulated/0/HTTrack/Websites/canna3/napabuds.com/feed/index.html	(from https://napabuds.com/)
22:44:33	32930/32930	---M-Z	200	added ('OK')	text/css	etag:%2280a2-6790fba9-b6d21664e6b084cf;gz%22	https://napabuds.com/wp-content/plugins/chaty/css/chaty-front.min.css?ver=3.3.41726954826	/storage/emulated/0/HTTrack/Websites/canna3/napabuds.com/wp-content/plugins/chaty/css/chaty-front.min3298.css	(from https://napabuds.com/)
22:44:36	16101/16101	---M-Z	200	added ('OK')	text/css	etag:%223ee5-65cc0b77-700da085ba01681b;gz%22	https://napabuds.com/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce-layout-grid.min.css?ver=4.6.5	/storage/emulated/0/HTTrack/Websites/canna3/napabuds.com/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce-layout-grid.min1dc6.css	(from https://napabuds.com/)
22:44:38	6005/6005	---M-Z	200	added ('OK')	text/css	etag:%221775-65cc0b77-5351700a510c64c6;gz%22	https://napabuds.com/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce-smallscreen-grid.min.css?ver=4.6.5	/storage/emulated/0/HTTrack/Websites/canna3/napabuds.com/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce-smallscreen-grid.min1dc6.css	(from https://napabuds.com/)
22:44:40	117571/117571	---M-Z	200	added ('OK')	text/css	etag:%221cb43-65cc0b77-ccec16bac4dd2bca;gz%22	https://napabuds.com/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce-grid.min.css?ver=4.6.5	/storage/emulated/0/HTTrack/Websites/canna3/napabuds.com/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce-grid.min1dc6.css	(from https://napabuds.com/)
22:44:41	5242/5242	---M-Z	200	added ('OK')	text/css	etag:%22147a-65f0d5ac-b24d612d4ce4847f;gz%22	https://napabuds.com/wp-content/plugins/easy-marijuana-age-verify/includes/assets/styles.css?ver=1710282156	/storage/emulated/0/HTTrack/Websites/canna3/napabuds.com/wp-content/plugins/easy-marijuana-age-verify/includes/assets/stylesebd3.css	(from https://napabuds.com/)
